MCSweeps totalmoves Epair avg_Epair Ebond avg_Ebond Eangle avg_Eangle Etot avg_Etot time
8470 592970000 0 0 0 0 -711 -701.07692307692309 -702 -701.07692307692309 37214.989446200001 
8480 593670000 0 0 0 0 -711 -701.07692307692309 -704 -701.07692307692309 37257.469753751997 
8490 594370000 0 0 0 0 -711 -701.07692307692309 -704 -701.07692307692309 37300.028746194002 
8500 595070000 0 0 0 0 -711 -701.07692307692309 -701 -701.07692307692309 37342.845460359 
8510 595770000 0 0 0 0 -701 -701.07647058823534 -706 -701.07647058823534 37385.787566753999 
8520 596470000 0 0 0 0 -701 -701.07647058823534 -712 -701.07647058823534 37428.528845007997 
8530 597170000 0 0 0 0 -701 -701.07647058823534 -713 -701.07647058823534 37471.209858536 
8540 597870000 0 0 0 0 -701 -701.07647058823534 -698 -701.07647058823534 37513.906934247003 
8550 598570000 0 0 0 0 -701 -701.07647058823534 -701 -701.07647058823534 37556.582122524 
8560 599270000 0 0 0 0 -701 -701.0760233918129 -701 -701.0760233918129 37599.255475252998 
8570 599970000 0 0 0 0 -701 -701.0760233918129 -709 -701.0760233918129 37641.813452574999 
8580 600670000 0 0 0 0 -701 -701.0760233918129 -699 -701.0760233918129 37684.105381444002 
8590 601370000 0 0 0 0 -701 -701.0760233918129 -689 -701.0760233918129 37726.488663994998 
8600 602070000 0 0 0 0 -701 -701.0760233918129 -692 -701.0760233918129 37768.738186854003 
8610 602770000 0 0 0 0 -692 -701.02325581395348 -698 -701.02325581395348 37811.254682443003 
8620 603470000 0 0 0 0 -692 -701.02325581395348 -704 -701.02325581395348 37853.678970913999 
8630 604170000 0 0 0 0 -692 -701.02325581395348 -693 -701.02325581395348 37896.355318964997 
8640 604870000 0 0 0 0 -692 -701.02325581395348 -713 -701.02325581395348 37939.076266499003 
8650 605570000 0 0 0 0 -692 -701.02325581395348 -706 -701.02325581395348 37981.910278878 
8660 606270000 0 0 0 0 -706 -701.05202312138726 -704 -701.05202312138726 38024.734399408997 
8670 606970000 0 0 0 0 -706 -701.05202312138726 -703 -701.05202312138726 38067.364478312003 
8680 607670000 0 0 0 0 -706 -701.05202312138726 -711 -701.05202312138726 38110.110324389003 
8690 608370000 0 0 0 0 -706 -701.05202312138726 -701 -701.05202312138726 38152.932203447002 
8700 609070000 0 0 0 0 -706 -701.05202312138726 -699 -701.05202312138726 38195.790304932001 
8710 609770000 0 0 0 0 -699 -701.04022988505744 -707 -701.04022988505744 38238.590828403001 
8720 610470000 0 0 0 0 -699 -701.04022988505744 -702 -701.04022988505744 38281.284745308003 
8730 611170000 0 0 0 0 -699 -701.04022988505744 -699 -701.04022988505744 38324.092912221 
8740 611870000 0 0 0 0 -699 -701.04022988505744 -702 -701.04022988505744 38366.763370733002 
8750 612570000 0 0 0 0 -699 -701.04022988505744 -704 -701.04022988505744 38409.435335198999 
8760 613270000 0 0 0 0 -704 -701.05714285714282 -706 -701.05714285714282 38451.983720523996 
8770 613970000 0 0 0 0 -704 -701.05714285714282 -702 -701.05714285714282 38494.455999753001 
8780 614670000 0 0 0 0 -704 -701.05714285714282 -709 -701.05714285714282 38536.813664768 
8790 615370000 0 0 0 0 -704 -701.05714285714282 -705 -701.05714285714282 38579.149429776 
8800 616070000 0 0 0 0 -704 -701.05714285714282 -702 -701.05714285714282 38621.777475777002 
8810 616770000 0 0 0 0 -702 -701.0625 -704 -701.0625 38664.204918087002 
8820 617470000 0 0 0 0 -702 -701.0625 -702 -701.0625 38706.470858252003 
8830 618170000 0 0 0 0 -702 -701.0625 -699 -701.0625 38748.735118422999 
8840 618870000 0 0 0 0 -702 -701.0625 -699 -701.0625 38791.173586584999 
8850 619570000 0 0 0 0 -702 -701.0625 -706 -701.0625 38833.585054837997 
8860 620270000 0 0 0 0 -706 -701.09039548022599 -698 -701.09039548022599 38876.156115138001 
